region_code,category_id,video_id,title,published_at,view_count,like_count,comment_count,channel_title
US,1,3ftYtuz1FSM,This is good,2024-11-29,13148224,838931,558,Dylang Solis
US,1,xUMZKR2D1Xo,The store owner senses something is wrong and rushes the customer away,2024-11-25,30062649,2272977,6407,Kaylee YTB
US,1,CEEsMSX07gA,foryou fypage family,2024-11-29,7544370,970667,2232,Golden Horizon Cinema
US,1,7o7LWemEyEY,That will be the story of you Django | Django Unchained,2024-12-01,3872604,237027,1166,Tyler Movies
US,1,JxuFed8pDXs,Will saved him.,2024-12-01,5448787,246633,424,Caleb
US,1,aXr2fBc3ax0,That's a cognitive puzzle. - Grey's anatomy (Season 19 Episode 03),2024-11-30,7466681,0,953,MovieClip
US,1,YjuChJ4ngoY,Smashed Lamborghini!,2024-11-26,8588479,727104,824,Cheyne Ken
US,1,2TIkwW0o_G0,Saving money on shopping or shopping to save money,2024-12-01,6340899,474235,326,Georgia Clips
US,1,PUZ9WcyTh8w,Spider-Man won everyone’s trust with his actions smiling_face_with_heartssmiling_face_with_heartsspider,2024-11-30,7540416,542651,855,Satrafili Nikolaos
US,1,xjCbdW7zSXA,Weekend Update Pays Tribute to Norm MacDonald red_heartrolling_on_the_floor_laughing COLIN JOST & MICHAEL CHE,2024-11-30,3445046,150453,1148,MICHAEL & COLIN
US,1,RdbTTye1WZk,He was penetrated by rebar but felt lucky!,2024-11-28,3218767,456551,2011,Kaylee Nostalgia
US,1,CrarxzeBLtc,El Cucuy face_with_tears_of_joy RENE VACA,2024-11-24,12217518,603538,2621,Rene Vaca
US,1,HCah1fLfKrU,When your best friend suddenly leaves you,2024-11-25,29402543,1959525,7234,Cuba
US,1,j05sCtUoIWM,Megatron asked the military for his men back.,2024-11-29,7328805,513462,1680,Abbie Movies
US,1,Bi2F-A_edkQ,“Hang on one sec.”,2024-11-29,6551462,656476,762,Paul Jordin
US,1,-qhB5eb6sWg,Stupid Homer.,2024-11-28,5640025,538398,1021,Bart Wow
US,1,HnLtfOOwHEo,Real KUNG FÚ on the WATER,2024-11-27,7658526,212722,4393,Celin Vasquez Ofical
US,1,2P1TYpah2ME,Hilarious New Bucket Pull.. face_with_tears_of_joyface_with_tears_of_joy | Kill Tony ft. Ben Khoshaba,2024-11-28,2970402,211464,1943,Slice Comedy
US,1,I6q8XEM1ZXM,MAMA knows best,2024-11-27,11184835,425336,3292,Music forever & short clips
US,1,CbMMZnlAUEI,Kai Cenat Asks Kyrie Irving About His Age! face_with_tears_of_joyloudly_crying_face,2024-11-29,3407024,232568,1270,Succesful Celebrity
US,1,yTvvG-UQK-Q,The bad guy angered John Wick:”Viggo is gonna understand “,2024-11-29,7680137,681822,1990,John Movie
US,1,4IeSGdONwEM,"Edward asks the other families to help his daughter, but they don’t believe her",2024-11-30,5355201,414626,918,Futukoobration Clips
US,1,0nnsb5XCBZE,The Original John Wick Revenge Begins loudly_crying_face I,2024-11-23,5688522,187735,1467,Super Movie Editor
US,1,9vtP1gpD2kw,His Food Truck Is Getting Towed fearful_faceface_with_peeking_eye,2024-11-25,10437741,1092895,2413,Eureka Reels
US,1,Q8hUVe3msZI,Unexpected Laughs: Kid Tests Firefighters' Teamwork!,2024-11-23,16603217,996260,2960,Mr. z films
US,1,xWaNXoEGGxA,Unreasonable arrests,2024-11-27,4765355,443633,1896,King Movie
US,1,9zvbfLUHCNw,Shane Gillis Knows His Historyrolling_on_the_floor_laughingface_with_tears_of_joy,2024-12-01,2268864,119427,817,HMSvids
US,1,IoVB5Hn2m_k,HELLUVA BOSS - MASTERMIND // S2: Episode 11,2024-11-29,9427453,770359,68346,Vivziepop
US,1,Ytz-_1IFnH8,The soldier sacrificed himself for Joe,2024-11-25,10148012,402912,1889,Pirate Tales
US,1,c053sYv3dFI,Quinn Pulls A Mom | Dexter S6.E9 |,2024-11-30,2344985,140350,315,Sumatica
US,1,r0k5EKoGTfA,Lopez goes undercover as a homeless person |,2024-12-02,2363295,195739,405,The Rookie (Fan Page)
US,1,kscKeJzAyy0,Who can enter the bathroom?,2024-11-30,3405840,184828,118,Mad Mike
US,1,tAE-tbYLyKY,DEFEND THE HOUSE! Send the robber flying! face_with_tears_of_joy,2024-11-30,6435499,358156,831,MrTalalaa
US,1,osbBsxNVbcw,"Donald Trump Was Almost On Kill Tony!!!face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy| Garbage, ft. Tony Hinchcliffe",2024-12-01,1671418,115657,816,LifeofLogos
US,1,0DObfv7c6SQ,Dorothy meets Scarecrow on The Yellow Brick Road- Wizard Of Oz Comedy Recap,2024-11-25,3176937,237224,837,It's Only Entertainment
US,1,jC0QGkLLFPw,Has she really gotten prettier?,2024-11-28,8761693,789147,831,Rachel Clips
US,1,9kzut3tshlU,"Kai Cenat Got Mad After Magician Breaks $20,000 Glass Table loudly_crying_face",2024-11-27,6595975,449871,1784,DaPlug
US,1,FAr2rk0k_Q4,Kai Cenat Kevin Hart & Druski FULL STREAM,2024-11-28,3829765,69834,5834,Kai Cenat Live
US,1,J6zQPU_C5IM,Wildlife,2024-11-27,5738012,144084,3039,Julia TK
US,1,unD_IhfPakg,So in battle it’s all about cleaning toilets?,2024-12-01,1540075,167764,175,Mcnichols Don
US,1,6hakXwLbsDs,Homer suddenly became very kindbeaming_face_with_smiling_eyes,2024-11-24,6061026,557993,285,Tickle and Scratch
US,1,AsLGojcRO8s,The guy infected the girl with penicillin...fearful_face,2024-11-27,2528935,226303,233,Medical House
US,1,h_qtxKcLP-w,Walter counterattacks Hank who discovers everything.,2024-11-29,4004967,120416,976,Robin Clips
US,1,0vXFV5PkjNI,Popular from WICKED movie VS broadway,2024-12-01,2914299,172314,513,SiPROW
US,1,1xL6ZeC9XKw,movies shorts dwaynejohnson,2024-11-27,4370742,471356,138,everet5672
US,1,k2Y0HQDyiJc,Beware of the unusual element,2024-11-29,2054356,209929,763,bpa9062
US,1,_d67KYcmKV0,Please don’t underestimate women.,2024-11-24,31194871,1191147,7750,Abigail Reviews
US,1,8Xc2kHXPdrE,kids running the wrong way,2024-12-01,2503716,213752,1892,baddie norris
US,1,vDUIo57CWtg,movie shorts shot caller,2024-11-26,3712398,237857,1585,bbzfun21
US,1,L-JaT-bHYxc,Salute To The Brave Firefighter Uncle!,2024-11-13,80058899,1189161,0,Blueberry Lutein
US,1,plJdWb3MvsQ,Reminds me of my mama.,2024-11-29,3499864,208561,579,Garcia movies
US,1,S9vqkQ5VOrw,50 Cent Starstruck by Meryl Streep & surprised by Kobe Bryant,2024-11-29,2500288,143390,828,SlimShots
US,1,7bok4XlR9do,He persuaded all the carssmirking_face,2024-11-30,2789609,197117,567,9-1-1 house
US,1,oezAifq0pjs,music movie shorts,2024-11-29,3556401,416368,640,Peng Shuai
US,1,Cu2hfZwC9rA,"If I got here in 1949,and it’s 2023,what does that make me?face_with_tears_of_joyA reptile movie:",2024-11-25,7512917,540123,2496,Nancy Clips
US,1,_HPDlDrYvdc,Life is a miracle of countless times of never giving up.,2024-11-27,7600680,448583,591,changingmovie
US,1,I8mMEoOP6pQ,Why Henry Cavill Is The PERFECT Actor!,2024-11-29,2375513,184004,2323,GCR Designs
US,1,h1h1ICESs7o,Kai Cenat And The Boys Do Attitude Now Walk Off Challenge face_with_tears_of_joy,2024-11-23,11122379,385242,2692,Worthy Streamers
US,1,OE9DEAdKw7o,I didn’t stay you weren’t successful,2024-11-25,6015257,722605,1031,Sere432
US,1,9s2djcazNsg,He Proved His Critics Wrong In The BEST Way,2024-11-28,5872910,610756,4978,Andy Jiang
US,1,rHH_-obC1wM,All it took was one punch face_with_tears_of_joyface_with_tears_of_joy,2024-11-27,10423386,378614,3585,deagzzzshorts
US,1,vlPOW7ECCl4,It’s Not Affecting Anything | Matt Rife,2024-11-29,1253528,45576,365,Comedy Highlights
US,1,4iXnhICMvRo,Frog Eye vs Whale Eye,2024-11-27,7983035,338803,1550,Pulp Mania
US,1,s-3igbewbos,John and Rip's love of ranching,2024-11-29,1869205,60234,421,Minella FI
US,1,M0qp-RxsYOE,HE GOT SO TIRED OF MY MOM ASKING QUESTIONS,2024-11-24,6605129,300231,3715,Andreas Polychronis
US,1,QV5G83T66Ik,This mon bravely defended her daughter who was bullied by others,2024-11-25,7825746,1045945,1873,FunnyClips
US,1,J4ieV83mAN8,Haley Wins The Challenge skull || Modern Family Funny Moments ||,2024-11-26,3442611,0,357,Mister Assertive
US,1,t5u9gs5-3CQ,Comedian SCHOOLS Heckling Audience Member,2024-11-24,5813050,292240,4755,Red Shorts Politics
US,1,G1iXQtYn24c,Rick Saves Jerry...,2024-11-11,5133498,507926,2354,Berf Ai
US,1,_Q0bjGfwOkc,He ain’t lying tho face_with_tears_of_joy,2024-11-23,4958629,333524,5223,Jaykidproductions
US,1,ooXOMEv9uQU,Something’s wrong with the left phalange,2024-11-23,17943320,1172413,4933,Paul Movies House
US,1,7bkwaboVteA,Josh Brolin On SCARFACE Influencing THANOS in Avengers: Endgame,2024-11-25,4665181,199067,1077,Cantina Talk
US,1,RNYJQly9chs,Cybermen made of wood,2024-12-02,1032945,119816,387,Brought Kooky
US,1,vJquGTwiKSw,Why Killing Baby Thanos idea Wouldn’t Work?fearful_face,2024-11-29,2482636,163019,447,Farry
US,1,JSNDoZPjTfU,Bernadette is actually a bully.rolling_on_the_floor_laughing,2024-11-27,3707204,160210,545,Elvia movie
US,1,LmpAcBkKrtU,Chris’s pursuit allowed Tony to escape the attack.,2024-11-30,1276343,67133,204,Mark Animations
US,1,5uuI2tzcvLo,What’s the point of a gold chain?,2024-11-29,3527373,297553,189,Martha
